protocol,depot_name,country_name,du_description,inventory_status,qa_status,depot_inventory_count,retest_date_inv,lot_id_inv
TRIAL-118,EMEA Depot,EMEA,Compound-B 15 mg bottle 70 ct,Inventory_Available,Released,4982,2029-12-30,TRIALOT1031
TRIAL-118,EMEA Depot,EMEA,Compound-C 100 mg Bottle 30 ct,Inventory_Available,Released,16469,2027-12-31,TRIALOT1032
TRIAL-118,EMEA Depot,EMEA,Compound-C 25 mg Bottle 30 ct,Inventory_Available,Released,148,2029-12-30,TRIALOT1033
TRIAL-118,EMEA Depot,EMEA,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),Inventory_Available,Released,50,2027-12-31,TRIALOT1034
TRIAL-118,US Central Depot,US,Compound-B 15 mg bottle 70 ct,Inventory_Available,Released,5001,2028-12-30,TRIALOT1035
TRIAL-118,US Central Depot,US,Compound-C 100 mg Bottle 30 ct,Inventory_Available,Released,12818,2028-12-30,TRIALOT1036
TRIAL-118,US Central Depot,US,Compound-C 25 mg Bottle 30 ct,Inventory_Available,Released,98,2027-12-31,TRIALOT1037
TRIAL-118,US Central Depot,US,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),Inventory_Available,Released,50,2028-12-30,TRIALOT1038
TRIAL-201,APAC Depot,APAC,Diluent for Compound-A 15 mg/vial (1x/carton),Inventory_Available,Released,3106,2028-12-30,TRIALOT1039
TRIAL-201,APAC Depot,APAC,Compound-A 15 mg/vial (1x/carton),Inventory_Available,Released,3361,2029-12-30,TRIALOT1040
TRIAL-201,US Central Depot,US,Diluent for Compound-A 15 mg/vial (1x/carton),Inventory_Available,Released,3520,2028-12-30,TRIALOT1041
TRIAL-201,US Central Depot,US,Compound-A 15 mg/vial (1x/carton),Inventory_Available,Released,4095,2027-12-31,TRIALOT1042
