Protocol,Cohort,Arm,Patients,Enroll_Start,Enroll_End,Country,Center
TRIAL-201,Cohort6,1Vial,1,2023-03-03,2023-03-03,USA,1001
TRIAL-201,Cohort7,1Vial,4,2023-03-20,2023-04-19,USA,1001
TRIAL-201,Expansion1,1Vial,38,2023-11-15,2024-06-01,USA,1001
TRIAL-201,Expansion1,1Vial,12,2023-11-15,2024-06-01,Korea,1002
TRIAL-201,Expansion1,1Vial,10,2023-11-15,2024-06-01,Japan,1003
TRIAL-201,Optimization,1Vial,38,2025-01-15,2026-06-01,USA,1001
TRIAL-201,Optimization,1Vial,12,2025-01-15,2026-06-01,Korea,1002
TRIAL-201,Optimization,1Vial,10,2025-01-15,2026-06-01,Japan,1003
TRIAL-201,Pivotal,1Vial,76,2026-12-01,2027-12-01,USA,1001
TRIAL-201,Pivotal,1Vial,24,2026-12-02,2027-12-02,Korea,1002
TRIAL-201,Pivotal,1Vial,20,2026-12-03,2027-12-03,Japan ,1003
TRIAL-118 ,C1,Combo5,8,2022-11-25,2024-04-08,USA,1001
TRIAL-118 ,C1,Combo5,3,2022-11-25,2023-12-07,Canada,1002
TRIAL-118 ,C1,Combo5,5,2022-11-25,2024-04-24,Israel,1003
TRIAL-118 ,C1,Combo5,3,2023-09-23,2024-03-13,Mexico,1004
TRIAL-118 ,C1,Combo5,1,2023-11-06,2023-11-06,Argentina,1005
TRIAL-118 ,C2,Combo5,8,2022-11-25,2024-04-08,USA,1001
TRIAL-118 ,C2,Combo5,3,2022-11-25,2023-12-07,Canada,1002
TRIAL-118 ,C2,Combo5,5,2022-11-25,2024-04-24,Israel,1003
TRIAL-118 ,C2,Combo5,3,2023-09-23,2024-03-13,Mexico,1004
TRIAL-118 ,C2,Combo5,1,2023-11-06,2023-11-06,Argentina,1005
TRIAL-118 ,C3,Combo5,12,2022-11-25,2023-06-20,USA,1001
TRIAL-118 ,C3,Combo5,3,2022-11-25,2024-04-25,Canada,1002
TRIAL-118 ,C3,Combo5,3,2022-11-25,2024-04-24,Israel,1003
TRIAL-118 ,C3,Combo7,2,2022-11-25,2023-06-20,USA,1004
TRIAL-118,C4,Combo5,14,2022-11-25,2023-06-20,USA,1001
TRIAL-118,C4,Combo5,3,2022-11-25,2024-04-25,Canada,1002
TRIAL-118,C4,Combo5,3,2022-11-25,2024-04-24,Israel,1003
TRIAL-118,C5,Combo5,25,2022-10-15,2022-11-14,USA,1001
TRIAL-118,C5,Combo5,7,2022-11-25,2023-12-28,Canada,1002
TRIAL-118,C5,Combo5,6,2022-11-25,2023-12-28,Israel,1003
TRIAL-118,C5,Combo5,1,2024-01-07,2024-01-07,Mexico,1004
TRIAL-118,C5,Combo7,1,2022-11-25,2023-12-28,Israel,1003
TRIAL-118,C6,DDI,10,2022-10-15,2022-11-14,USA,1001
