Protocol,Arm,DU_Description,Cycles,Cycle_Length,Option1,Option2,Option3,Option4,Option5,Option6
TRIAL-201,1Vial,Diluent for Compound-A 15 mg/vial (1x/carton),20,15,1,,,,,
TRIAL-201,1Vial,Compound-A 15 mg/vial (1x/carton),20,15,1,,,,,
TRIAL-118,Combo5,Compound-B 15 mg bottle 70 ct,26,21,2,,,,,
TRIAL-118,Combo5,Compound-C 100 mg Bottle 30 ct,26,21,5,,,,,
TRIAL-118,Combo7,Compound-B 15 mg bottle 70 ct,26,21,2,2,2,2,2,2
TRIAL-118,Combo7,Compound-C 25 mg Bottle 30 ct,26,21,2,4,1,0,0,0
TRIAL-118,Combo7,Compound-C 100 mg Bottle 30 ct,26,21,0,0,1,2,3,4
TRIAL-118,DDI,Compound-B 15 mg bottle 70 ct,26,21,2,,,,,
TRIAL-118,DDI,Compound-C 100 mg Bottle 30 ct,26,21,5,,,,,
TRIAL-118,DDI,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),1,1,0.1,,,,,
