"Protocol","Arm","DU_Description","Cycles","Cycle_Length","Option1","Option2","Option3","Option4","Option5","Option6"
"ONR-2024-001","TITR","ONR-2024-001 BG",31,21,2,2,2,2,2,2
"ONR-2024-001","TITR","ONR-2024-001 LOW",31,21,2,4,1,0,0,0
"ONR-2024-001","TITR","ONR-2024-001 HIGH",31,21,0,0,1,2,3,4
"CVD-2024-002","FIXED","CVD-2024-002 DRUG",23,28,3,NA,NA,NA,NA,NA
"CVD-2024-002","FIXED","CVD-2024-002 DILUENT",23,28,1,NA,NA,NA,NA,NA
"NEU-2024-003","TITR","NEU-2024-003 BG",15,21,2,2,2,2,2,2
"NEU-2024-003","TITR","NEU-2024-003 LOW",15,21,2,4,1,0,0,0
"NEU-2024-003","TITR","NEU-2024-003 HIGH",15,21,0,0,1,2,3,4
"ONC-001","TITR","ONC-001 BG",40,21,2,2,2,2,2,2
"ONC-001","TITR","ONC-001 LOW",40,21,2,4,1,0,0,0
"ONC-001","TITR","ONC-001 HIGH",40,21,0,0,1,2,3,4
"VAC-001","FIXED","VAC-001 DRUG",34,28,3,NA,NA,NA,NA,NA
"VAC-001","FIXED","VAC-001 DILUENT",34,28,1,NA,NA,NA,NA,NA
"IM-001","TITR","IM-001 BG",20,21,2,2,2,2,2,2
"IM-001","TITR","IM-001 LOW",20,21,2,4,1,0,0,0
"IM-001","TITR","IM-001 HIGH",20,21,0,0,1,2,3,4
"I&I-001","FIXED","I&I-001 DRUG",40,21,3,NA,NA,NA,NA,NA
"I&I-001","FIXED","I&I-001 DILUENT",40,21,1,NA,NA,NA,NA,NA
"VAC-002","FIXED","VAC-002 DRUG",18,28,3,NA,NA,NA,NA,NA
"VAC-002","FIXED","VAC-002 DILUENT",18,28,1,NA,NA,NA,NA,NA
"ONC-003","TITR","ONC-003 BG",26,21,2,2,2,2,2,2
"ONC-003","TITR","ONC-003 LOW",26,21,2,4,1,0,0,0
"ONC-003","TITR","ONC-003 HIGH",26,21,0,0,1,2,3,4
"IM-002","FIXED","IM-002 DRUG",25,28,3,NA,NA,NA,NA,NA
"IM-002","FIXED","IM-002 DILUENT",25,28,1,NA,NA,NA,NA,NA
"II-003","FIXED","II-003 DRUG",26,21,3,NA,NA,NA,NA,NA
"II-003","FIXED","II-003 DILUENT",26,21,1,NA,NA,NA,NA,NA
"VAC-004","TITR","VAC-004 BG",11,21,2,2,2,2,2,2
"VAC-004","TITR","VAC-004 LOW",11,21,2,4,1,0,0,0
"VAC-004","TITR","VAC-004 HIGH",11,21,0,0,1,2,3,4
"ONC-007","TITR","ONC-007 BG",17,21,2,2,2,2,2,2
"ONC-007","TITR","ONC-007 LOW",17,21,2,4,1,0,0,0
"ONC-007","TITR","ONC-007 HIGH",17,21,0,0,1,2,3,4
"VAC-008","FIXED","VAC-008 DRUG",12,28,3,NA,NA,NA,NA,NA
"VAC-008","FIXED","VAC-008 DILUENT",12,28,1,NA,NA,NA,NA,NA
"IM-009","FIXED","IM-009 DRUG",13,28,3,NA,NA,NA,NA,NA
"IM-009","FIXED","IM-009 DILUENT",13,28,1,NA,NA,NA,NA,NA
"II-010","FIXED","II-010 DRUG",21,28,3,NA,NA,NA,NA,NA
"II-010","FIXED","II-010 DILUENT",21,28,1,NA,NA,NA,NA,NA
"ONC-011","TITR","ONC-011 BG",26,21,2,2,2,2,2,2
"ONC-011","TITR","ONC-011 LOW",26,21,2,4,1,0,0,0
"ONC-011","TITR","ONC-011 HIGH",26,21,0,0,1,2,3,4
"VAC-012","TITR","VAC-012 BG",10,21,2,2,2,2,2,2
"VAC-012","TITR","VAC-012 LOW",10,21,2,4,1,0,0,0
"VAC-012","TITR","VAC-012 HIGH",10,21,0,0,1,2,3,4
