"Protocol","Cohort","Arm","Patients","Enroll_Start","Enroll_End","Country","Center"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-001"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-002"
"ONR-2024-001","C1","TITR",8,2024-03-15,2024-12-02,"USA","ONR-2024-001-003"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-004"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-005"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-006"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-007"
"ONR-2024-001","C1","TITR",8,2024-03-15,2024-12-02,"USA","ONR-2024-001-008"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-009"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-010"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-011"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-012"
"ONR-2024-001","C1","TITR",8,2024-03-15,2024-12-02,"USA","ONR-2024-001-013"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-014"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-015"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-016"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-017"
"ONR-2024-001","C1","TITR",8,2024-03-15,2024-12-02,"USA","ONR-2024-001-018"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-019"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-020"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-021"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-022"
"ONR-2024-001","C1","TITR",8,2024-03-15,2024-12-02,"USA","ONR-2024-001-023"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-024"
"ONR-2024-001","C1","TITR",7,2024-03-15,2024-12-02,"USA","ONR-2024-001-025"
"CVD-2024-002","C1","FIXED",9,2024-06-01,2025-02-16,"USA","CVD-2024-002-001"
"CVD-2024-002","C1","FIXED",9,2024-06-01,2025-02-16,"USA","CVD-2024-002-002"
"CVD-2024-002","C1","FIXED",8,2024-06-01,2025-02-16,"USA","CVD-2024-002-003"
