"Protocol","Arm","Titration_Visits","P_Up","P_Stay","P_Down","P_Miss","Tolerance_Level","Restart_Policy"
"ONR-2024-001","TITR",6,0.7,0.2,0.1,0.15,5,"uncapped"
"NEU-2024-003","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"ONC-001","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
"IM-001","TITR",6,0.7,0.2,0.1,0.08,5,"uncapped"
"ONC-003","TITR",6,0.7,0.2,0.1,0.15,5,"uncapped"
"VAC-004","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"ONC-007","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
"ONC-011","TITR",6,0.7,0.2,0.1,0.08,6,"uncapped"
"VAC-012","TITR",6,0.7,0.2,0.1,0.15,5,"uncapped"
"SYN-002","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-003","TITR",6,0.7,0.2,0.1,0.08,5,"uncapped"
"SYN-006","TITR",6,0.7,0.2,0.1,0.08,6,"uncapped"
"SYN-010","TITR",6,0.7,0.2,0.1,0.15,5,"uncapped"
"SYN-011","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-013","TITR",6,0.7,0.2,0.1,0.15,6,"uncapped"
"SYN-017","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-018","TITR",6,0.7,0.2,0.1,0.08,5,"uncapped"
"SYN-020","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-023","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
"SYN-024","TITR",6,0.7,0.2,0.1,0.08,6,"uncapped"
"SYN-026","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-028","TITR",6,0.7,0.2,0.1,0.15,6,"uncapped"
"SYN-030","TITR",6,0.7,0.2,0.1,0.08,5,"uncapped"
"SYN-031","TITR",6,0.7,0.2,0.1,0.15,6,"uncapped"
"SYN-034","TITR",6,0.7,0.2,0.1,0.15,5,"uncapped"
"SYN-035","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-036","TITR",6,0.7,0.2,0.1,0.08,5,"uncapped"
"SYN-038","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
"SYN-041","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
"SYN-042","TITR",6,0.7,0.2,0.1,0.08,6,"uncapped"
"SYN-043","TITR",6,0.7,0.2,0.1,0.15,5,"uncapped"
"SYN-045","TITR",6,0.7,0.2,0.1,0.08,5,"uncapped"
"SYN-048","TITR",6,0.7,0.2,0.1,0.08,6,"uncapped"
"SYN-050","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
"SYN-055","TITR",6,0.7,0.2,0.1,0.15,6,"uncapped"
"SYN-057","TITR",6,0.7,0.2,0.1,0.08,6,"uncapped"
"SYN-062","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-065","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
"SYN-068","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-069","TITR",6,0.7,0.2,0.1,0.08,5,"uncapped"
"SYN-073","TITR",6,0.7,0.2,0.1,0.15,6,"uncapped"
"SYN-074","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
"SYN-078","TITR",6,0.7,0.2,0.1,0.08,5,"uncapped"
"SYN-080","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-083","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
"SYN-084","TITR",6,0.7,0.2,0.1,0.08,6,"uncapped"
"SYN-085","TITR",6,0.7,0.2,0.1,0.15,5,"uncapped"
"SYN-086","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-088","TITR",6,0.7,0.2,0.1,0.15,6,"uncapped"
"SYN-090","TITR",6,0.7,0.2,0.1,0.08,5,"uncapped"
"SYN-095","TITR",6,0.7,0.2,0.1,0.02,6,"uncapped"
"SYN-097","TITR",6,0.7,0.2,0.1,0.15,6,"uncapped"
"SYN-098","TITR",6,0.7,0.2,0.1,0.02,5,"uncapped"
