protocol,center,country_name,du_description,order_year,order_month,order_date,quantity,lot_id,status
TRIAL-118,1001,USA,Compound-C 25 mg Bottle 30 ct,2023,3,2023-03-18,9,TRIALOT1005,Shipped
TRIAL-118,1001,USA,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),2023,4,2023-04-03,1,TRIALOT1007,Shipped
TRIAL-118,1001,USA,Compound-C 25 mg Bottle 30 ct,2023,5,2023-05-29,7,TRIALOT1004,Shipped
TRIAL-118,1001,USA,Compound-B 15 mg bottle 70 ct,2023,10,2023-10-08,15,TRIALOT1003,Shipped
TRIAL-118,1001,USA,Compound-B 15 mg bottle 70 ct,2023,11,2023-11-08,16,TRIALOT1001,Shipped
TRIAL-118,1001,USA,Compound-B 15 mg bottle 70 ct,2023,11,2023-11-16,16,TRIALOT1002,Shipped
TRIAL-118,1001,USA,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),2023,11,2023-11-21,1,TRIALOT1006,Shipped
TRIAL-118,1002,Canada,Compound-C 100 mg Bottle 30 ct,2023,3,2023-03-11,19,TRIALOT1010,Shipped
TRIAL-118,1002,Canada,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),2023,4,2023-04-02,1,TRIALOT1014,Shipped
TRIAL-118,1002,Canada,Compound-C 25 mg Bottle 30 ct,2023,8,2023-08-04,18,TRIALOT1012,Shipped
TRIAL-118,1002,Canada,Compound-B 15 mg bottle 70 ct,2023,8,2023-08-22,6,TRIALOT1009,Shipped
TRIAL-118,1002,Canada,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),2023,9,2023-09-07,1,TRIALOT1013,Shipped
TRIAL-118,1002,Canada,Compound-C 25 mg Bottle 30 ct,2023,10,2023-10-08,11,TRIALOT1011,Shipped
TRIAL-118,1002,Canada,Compound-B 15 mg bottle 70 ct,2023,11,2023-11-11,12,TRIALOT1008,Shipped
TRIAL-118,1003,Israel,Compound-B 15 mg bottle 70 ct,2023,5,2023-05-22,9,TRIALOT1015,Shipped
TRIAL-118,1003,Israel,Compound-B 15 mg bottle 70 ct,2023,7,2023-07-01,9,TRIALOT1016,Shipped
TRIAL-118,1003,Israel,Compound-C 25 mg Bottle 30 ct,2023,9,2023-09-08,16,TRIALOT1017,Shipped
TRIAL-118,1003,Israel,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),2023,10,2023-10-10,1,TRIALOT1018,Shipped
TRIAL-118,1004,Mexico,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),2023,7,2023-07-06,1,TRIALOT1021,Shipped
TRIAL-118,1004,Mexico,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),2023,8,2023-08-13,1,TRIALOT1022,Shipped
TRIAL-118,1004,Mexico,Compound-C 25 mg Bottle 30 ct,2023,8,2023-08-24,10,TRIALOT1019,Shipped
TRIAL-118,1004,Mexico,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),2023,10,2023-10-17,1,TRIALOT1020,Shipped
TRIAL-118,1005,Argentina,Reference Drug Syrup 2 mg/mL Bottle (118 mL/bottle),2023,3,2023-03-27,1,TRIALOT1028,Shipped
TRIAL-118,1005,Argentina,Compound-C 100 mg Bottle 30 ct,2023,3,2023-03-29,35,TRIALOT1025,Shipped
TRIAL-118,1005,Argentina,Compound-B 15 mg bottle 70 ct,2023,3,2023-03-30,15,TRIALOT1023,Shipped
TRIAL-118,1005,Argentina,Compound-C 25 mg Bottle 30 ct,2023,4,2023-04-06,17,TRIALOT1026,Shipped
TRIAL-118,1005,Argentina,Compound-C 25 mg Bottle 30 ct,2023,4,2023-04-28,12,TRIALOT1027,Shipped
TRIAL-118,1005,Argentina,Compound-B 15 mg bottle 70 ct,2023,10,2023-10-04,4,TRIALOT1024,Shipped
TRIAL-201,1001,USA,Diluent for Compound-A 15 mg/vial (1x/carton),2023,8,2023-08-04,4,TRIALOT1030,Shipped
TRIAL-201,1001,USA,Diluent for Compound-A 15 mg/vial (1x/carton),2023,8,2023-08-10,4,TRIALOT1031,Shipped
TRIAL-201,1001,USA,Diluent for Compound-A 15 mg/vial (1x/carton),2023,11,2023-11-24,5,TRIALOT1029,Shipped
TRIAL-201,1002,Korea,Diluent for Compound-A 15 mg/vial (1x/carton),2023,9,2023-09-04,9,TRIALOT1032,Shipped
TRIAL-201,1002,Korea,Diluent for Compound-A 15 mg/vial (1x/carton),2023,11,2023-11-07,5,TRIALOT1033,Shipped
