"rep_seed","Protocol","forecast","Units","Stockouts","P_Stockout","Stockout_Units","Expired","Reorders","Seed_Short","donor","titrates","synthetic","engine"
1026,"ONR-2024-001","trailing",75,75,1,428.7,6039.7,693,0,"ONR-2024-001",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"ONR-2024-001","rung",75,20,0.266666666666667,41.8,5045.7,684,0,"ONR-2024-001",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"CVD-2024-002","trailing",80,0,0,0,5910.6,570,0,"CVD-2024-002",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"CVD-2024-002","rung",80,0,0,0,4450.1,561,0,"CVD-2024-002",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"NEU-2024-003","trailing",36,25,0.694444444444444,129.2,2174.9,181,0,"NEU-2024-003",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"NEU-2024-003","rung",36,1,0.0277777777777778,0.7,849.4,145,0,"NEU-2024-003",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"ONC-001","trailing",69,31,0.449275362318841,122.7,8193.4,705,0,"ONC-001",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"ONC-001","rung",69,5,0.072463768115942,6.4,6068.2,716,0,"ONC-001",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-001","trailing",300,0,0,0,544854,3586,0,"VAC-001",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-001","rung",300,0,0,0,409824,3330,0,"VAC-001",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"IM-001","trailing",15,5,0.333333333333333,33,713.2,88,0,"IM-001",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"IM-001","rung",15,0,0,0,730.9,78,0,"IM-001",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"I&I-001","trailing",80,2,0.025,3.6,11767.8,856,0,"I&I-001",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"I&I-001","rung",80,0,0,0,8265.2,849,0,"I&I-001",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-002","trailing",200,0,0,0,35201.2,1200,0,"VAC-002",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-002","rung",200,0,0,0,51559.6,1099,0,"VAC-002",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"ONC-003","trailing",75,75,1,420.6,6016.5,653,0,"ONC-003",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"ONC-003","rung",75,28,0.373333333333333,63.9,4451.6,630,0,"ONC-003",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"IM-002","trailing",86,39,0.453488372093023,115.2,7562,829,0,"IM-002",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"IM-002","rung",86,2,0.0232558139534884,0.4,5949.8,777,0,"IM-002",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"II-003","trailing",60,2,0.0333333333333333,3,4769.7,415,0,"II-003",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"II-003","rung",60,0,0,0,3949.8,409,0,"II-003",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-004","trailing",33,32,0.96969696969697,340.7,3469.4,172,0,"VAC-004",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-004","rung",33,1,0.0303030303030303,0.2,1689.9,126,0,"VAC-004",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"ONC-007","trailing",42,21,0.5,103.6,2179.4,194,0,"ONC-007",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"ONC-007","rung",42,3,0.0714285714285714,1.6,1662.9,175,0,"ONC-007",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-008","trailing",70,26,0.371428571428571,113.4,5293.4,367,0,"VAC-008",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-008","rung",70,0,0,0,2584,283,0,"VAC-008",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"IM-009","trailing",120,1,0.00833333333333333,0.4,6707.40000000001,494,0,"IM-009",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"IM-009","rung",120,0,0,0,5053,475,0,"IM-009",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"II-010","trailing",80,0,0,0,5349,538,0,"II-010",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"II-010","rung",80,0,0,0,3393,527,0,"II-010",FALSE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"ONC-011","trailing",84,66,0.785714285714286,392.2,7945.8,723,0,"ONC-011",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"ONC-011","rung",84,12,0.142857142857143,21.4,5020.4,625,0,"ONC-011",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-012","trailing",24,15,0.625,58.3,935.1,83,0,"VAC-012",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"VAC-012","rung",24,2,0.0833333333333333,0.5,275.6,70,0,"VAC-012",TRUE,FALSE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-001","trailing",88,0,0,0,12626.4,924,0,"I&I-001",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-001","rung",88,2,0.0227272727272727,0.4,9906.9,908,0,"I&I-001",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-002","trailing",30,14,0.466666666666667,158.5,1955.1,105,0,"VAC-004",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-002","rung",30,1,0.0333333333333333,1,784.1,79,0,"VAC-004",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-003","trailing",33,31,0.93939393939394,245.6,2582.9,168,0,"NEU-2024-003",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-003","rung",33,1,0.0303030303030303,1.8,1258.1,125,0,"NEU-2024-003",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-004","trailing",92,0,0,0,1360.3,493,0,"II-010",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-004","rung",92,0,0,0,1706.6,489,0,"II-010",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-005","trailing",48,46,0.958333333333333,417.1,6491.1,287,0,"VAC-008",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-005","rung",48,0,0,0,3911,207,0,"VAC-008",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-006","trailing",33,27,0.818181818181818,129.5,721.4,74,0,"VAC-012",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-006","rung",33,1,0.0303030303030303,2.2,400.7,54,0,"VAC-012",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-007","trailing",60,34,0.566666666666667,114.2,7370,594,0,"IM-002",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-007","rung",60,0,0,0,5123.8,527,0,"IM-002",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-008","trailing",82,2,0.024390243902439,3,7855.1,828,0,"I&I-001",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-008","rung",82,3,0.0365853658536585,0.6,6145.1,835,0,"I&I-001",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-009","trailing",66,66,1,526.2,6341.4,423,0,"VAC-008",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-009","rung",66,0,0,0,3307.2,392,0,"VAC-008",FALSE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-010","trailing",9,4,0.444444444444444,16.9,472,59,0,"IM-001",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-010","rung",9,0,0,0,739.2,57,0,"IM-001",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-011","trailing",63,22,0.349206349206349,120,7854.8,661,0,"ONC-001",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
1026,"SYN-011","rung",63,2,0.0317460317460317,8.5,5462.2,655,0,"ONC-001",TRUE,TRUE,"dce2be12381bed08941e90d99de44ae46c01f592"
